Obs Canada USA
1 74 65
2 95 68
3 93 60
4 39 67
5 75 62
6 92 64
7 34 73
8 73 64
9 78 70
10 59 58
11 68 66
12 56 60
13 49 74
14 71 70
15 58 60
16 91 68
17 34 64
18 80 61
19 59 68
20 36 62
21 52 56
22 59 61
23 80 74
24 37 65
25 85 71
26 63 78
27 69 67
28 61 81
29 85 68
30 52 73
31 54 66
32 53 76
33 67 72
34 64 57
35 80 65
36 65 77
37 50 65
38 64 64
39 64 59
40 79 65
41 29 62
42 54 73
43 62 70
44 78 74
45 66 60
46 81 67
47 67 69
48 63 73
49 59 65
50 60 65
51 57 77
52 81 61
53 84 66
54 67 68
55 54 64
56 81 67
57 76 71
58 63 69
59 53 61
60 77 64
61 46 74
62 48 69
63 46 62
64 61 72
65 79 72
66 66 63
67 59 67
68 68 68
69 63 63
70 67 75
71 74 78
72 66 57
73 70 65
74 77 71
75 57 65
76 52 84
77 53 69
78 65 63
79 72 66
80 43 67
81 83 77
82 64 60
83 83 69
84 75 62
85 48 66
86 78 82
87 54 69
88 67 67
89 61 59
90 52 64
91 NA 69
92 NA 75
93 NA 55
94 NA 63
95 NA 68
96 NA 72
97 NA 71
98 NA 66
99 NA 70
100 NA 66
