OBJECTID,HR_UID,Province,CaseCount,Deaths,Recovered,Tests,Last_Updated,GlobalID
1,3537,ON,242,8,109,1872,2020/04/12 22:24:00+00,{BD3AEC17-24F9-4DD2-9917-9C64D70B95FD}
2,3538,ON,26,0,0,0,2020/04/12 22:24:00+00,{87719486-2223-4DDB-9FF5-A9752F499A13}
3,3539,ON,31,2,4,622,2020/04/12 22:25:00+00,{AAACB8CD-1503-4086-A35E-E5054E11EA3C}
4,3540,ON,25,1,7,503,2020/04/12 22:25:59+00,{65C2E1C7-36D8-412C-9449-6CF2FE6F03D4}
5,3541,ON,55,0,41,1706,2020/04/12 22:27:00+00,{D314B87F-A617-41AD-8BA0-19BC39F3DB6B}
6,3542,ON,115,10,15,681,2020/04/12 22:27:00+00,{735CBC84-5128-445B-93B8-B74A17B07D90}
7,3543,ON,176,15,0,0,2020/04/12 22:28:00+00,{06B48C44-C574-4944-B65F-C6661ACA408E}
8,3544,ON,215,10,54,0,2020/04/12 22:28:59+00,{ED6B2C9E-2B33-4640-9677-4AFEB23148FF}
9,6001,YT,8,,4,794,2020/04/12 20:54:00+00,{55138DD4-0FDE-4187-BDB3-A31933466C93}
10,6101,NT,5,0,1,1448,2020/04/12 18:33:59+00,{7A0B0D76-80E9-47F5-9907-5D7033BBD5CE}
11,6201,NU,0,,,376,2020/04/12 20:55:00+00,{7A73963E-F712-47C9-8BC8-CB4705A5CBE2}
12,4831,AB,31,0,13,3806,2020/04/12 21:49:00+00,{B92E29D7-3F50-4308-A9B9-3A7606A6C1E0}
13,4832,AB,1043,32,504,31162,2020/04/12 21:49:59+00,{0C1EB707-9CAF-4E5E-A7CF-7FFC24F0BD46}
14,4833,AB,72,1,50,6980,2020/04/12 21:52:00+00,{8236C005-0F1D-4890-BE9D-9C06AE89CE24}
15,4834,AB,395,7,205,25260,2020/04/12 21:53:00+00,{7CAA2121-110A-4D60-BE09-D045B2FAD5D8}
16,4835,AB,103,6,49,6204,2020/04/12 21:55:00+00,{E16F74F7-4716-4B3F-A9CE-C62C101D0267}
17,1307,NB,2,0,0,283,2020/04/12 19:28:00+00,{B511B3E2-E82F-4BFF-9373-77850FB92501}
18,2401,QC,34,1,,,2020/04/12 19:28:59+00,{170DCD94-CBB4-4355-88C2-F9DB4760DD72}
19,2402,QC,149,3,,,2020/04/12 19:30:00+00,{CA0716AA-70B5-4142-B4E9-F6120729DB98}
20,2403,QC,444,13,,,2020/04/12 19:31:00+00,{492FFF63-5817-48E4-9AB9-9478DA805CFA}
21,2404,QC,739,33,,,2020/04/12 19:33:00+00,{6E08DC7D-DBB1-4733-8CF7-5726CF5A3AC3}
22,2405,QC,689,16,,,2020/04/12 19:34:59+00,{A9FCCA7A-799E-4B0E-A54C-67760A3E71EB}
23,2406,QC,6088,153,,,2020/04/12 19:36:00+00,{6D9FDA53-D57F-462C-B80E-F0A2F7D0C881}
24,2407,QC,169,0,,,2020/04/12 19:38:00+00,{A3E77689-7961-4DE7-9A32-53B62019C7C1}
25,2408,QC,137,2,,,2020/04/12 19:40:00+00,{F30D77E2-2C0A-4991-9B89-D725F8DC77A3}
26,2409,QC,92,0,,,2020/04/12 19:41:00+00,{F809A8BE-9188-4B9C-8B33-18903DD8AE4D}
27,2410,QC,5,0,,,2020/04/12 18:29:00+00,{8C5160CE-93C6-41DD-A62A-CB639FC0A818}
28,3546,ON,234,10,79,0,2020/04/12 22:30:00+00,{39054112-2FB6-4191-BAEF-5A749024C00B}
29,3547,ON,11,0,6,531,2020/04/12 22:31:00+00,{2330ADFF-72B9-4B27-A8B4-E6FA723108B8}
30,3549,ON,10,0,0,606,2020/04/12 18:27:59+00,{A9FEC1FD-4606-4465-97E1-C8DCD668117E}
31,3551,ON,524,11,170,0,2020/04/12 22:33:00+00,{82BAC1DC-A369-4931-9723-AAB42720E7EF}
32,3553,ON,951,18,4,0,2020/04/12 22:34:00+00,{67EA20CD-4D12-42CB-8ABB-552BB35AF83C}
33,3555,ON,52,0,20,1303,2020/04/12 22:34:59+00,{DCC3C6B8-E1F1-423A-83D0-FF86D32E5561}
34,3556,ON,39,2,14,663,2020/04/12 18:29:00+00,{EFD0BF9C-9EB4-4675-96C6-5B06002AE519}
35,3557,ON,14,1,0,710,2020/04/12 22:34:59+00,{90215C69-5F7E-485F-B0BD-4BFD74CF6D68}
36,3558,ON,58,0,29,0,2020/04/12 22:36:00+00,{12436319-6BA7-471A-9A19-568DB755828E}
37,3560,ON,141,8,54,0,2020/04/12 22:37:00+00,{FBB0F73E-B1BA-443F-B758-8A45A833D427}
38,3561,ON,36,1,21,1415,2020/04/12 22:37:00+00,{7F8165FF-6CDC-4AD3-8E9D-49D52AD97F99}
39,3562,ON,26,0,11,694,2020/04/12 20:48:00+00,{CF6D9247-B9E4-402F-ABF4-C353F60F2906}
40,3563,ON,9,0,2,243,2020/04/12 22:38:00+00,{09F933E0-4EC3-4EF7-BDAA-A289C52F9120}
41,3565,ON,274,11,94,3091,2020/04/12 22:38:59+00,{D31649D3-00E2-4FA0-B0EB-E293A976325E}
42,3566,ON,113,1,15,0,2020/04/12 22:40:00+00,{4ED1FA3D-A8FF-4536-881F-745D85339EF0}
43,3568,ON,311,8,23,2293,2020/04/12 22:40:00+00,{1CF7EBFB-9F8F-4ABE-912C-18FF22C94F40}
44,1203,NS,38,0,0,0,2020/04/12 19:17:00+00,{7CCE2E76-1109-42A2-9891-141385446C80}
45,1204,NS,328,0,0,0,2020/04/12 19:17:00+00,{BE83CCE7-F769-49BF-B7F4-DD9852F21309}
46,1301,NB,23,0,0,2560,2020/04/12 19:22:59+00,{E42FF6BA-F44B-4E65-A54C-54CCCF24C055}
47,1302,NB,26,0,0,1573,2020/04/12 19:22:59+00,{B9B02CDF-616A-40E7-B8A3-D00EB9292C19}
48,1303,NB,45,0,0,1851,2020/04/12 19:24:00+00,{BD90CE6B-3ED0-43EA-8E72-390B19113834}
49,1304,NB,7,0,0,628,2020/04/12 19:24:00+00,{FC79D1A4-DD91-46D0-8088-2A7731A82C00}
50,1305,NB,10,0,0,363,2020/04/12 19:25:00+00,{9CDAE252-7643-41F2-8407-5C434C98988D}
51,1306,NB,1,0,0,705,2020/04/12 19:25:00+00,{61CB75E9-27F7-41DF-A665-767ECB9C4C33}
52,4604,MB,3,,,,2020/04/12 18:32:00+00,{D73427EA-A10B-4B22-A6EC-4B00CD9150A5}
53,4605,MB,26,,,,2020/04/12 18:32:00+00,{A3849BC6-BCF7-4902-898A-722E5B14E95B}
